HOUR,TOTALLOAD,PRICE,WIND,SOLAR
294,61.99268985034718,68485.52180685359,0.4621,0.0
295,62.37556880423233,59474.877985462095,0.446,0.0193
296,59.20611764518303,42801.4940290758,0.4135,0.4964
297,55.328745278346055,40068.757788162,0.33,0.7169
298,51.89093183137724,37631.45249221184,0.2698,0.6995
299,48.790884712307104,34233.9966251298,0.249,0.698
300,46.30969028305135,31482.795950155763,0.276,0.6646
301,44.22641234967624,30707.28971962617,0.2931,0.7269
302,43.10553710401245,29507.10150571132,0.332,0.7316
303,42.82907767809537,29174.74169262721,0.351,0.7111
304,43.3114357559507,30578.03868120457,0.3442,0.3641
305,46.79898876490459,45515.765835929386,0.39,0.0048
306,48.73651821432342,40308.79543094496,0.4856,0.0
307,49.129807774205446,34603.28530633437,0.5583,0.0
308,48.93316299426444,35175.68276220145,0.5945,0.0
309,47.351907616738735,31981.335669781933,0.6096,0.0
310,45.43288591131435,28029.94678089304,0.6249,0.0
311,44.11420915170989,23820.055815160955,0.6373,0.0
312,43.61102986186083,27605.26479750779,0.6287,0.0
313,43.37042918993299,26128.11007268952,0.6413,0.0
314,43.88401908577895,25980.394600207685,0.661,0.0
315,44.74809938351976,26977.474039460023,0.65,0.0
316,46.92391603686711,29396.31490134995,0.6501,0.0
317,50.68792847173808,32295.231048805814,0.6787,0.0
318,54.93545571846403,59271.76921079958,0.7044,0.0
319,55.346096288340846,52033.71105919003,0.7193,0.016
320,53.12748047700633,35858.8668224299,0.6544,0.1683
321,50.32355726184738,26922.08073727934,0.603,0.184
322,47.92333421256733,21862.82580477674,0.6058,0.2041
323,45.888639107177646,18428.441069574248,0.6232,0.2159
324,44.44387834161101,17394.432762201457,0.629,0.2147
325,43.3114357559507,17837.57917964694,0.6002,0.2493
326,42.47049013820293,21438.143821391488,0.5524,0.3383
327,42.19518744628552,25740.35695742472,0.4782,0.4047
328,42.66019451414604,30928.86292834891,0.3645,0.3067
329,45.51385729129007,68965.59709241951,0.2793,0.0161
330,46.736525128923326,70848.96936656281,0.3088,0.0
331,47.04537310683068,50556.55633437175,0.3236,0.0
332,46.57805257097086,46512.84527518173,0.3398,0.0
333,45.30448843735287,36948.268431983386,0.363,0.0
334,43.62838087185562,32387.55321910696,0.3817,0.0
335,42.34671960024006,34104.7455867082,0.4082,0.0
336,41.959213710356295,33753.921339563865,0.4208,0.0
337,42.06910344032333,32110.586708203533,0.4659,0.0
338,42.68795613013771,31427.40264797508,0.4709,0.0
339,43.873608479782064,30781.14745586708,0.4876,0.0
340,46.364056781035046,31298.15160955348,0.5083,0.0
341,50.30736298585224,37372.95041536864,0.5105,0.0
342,54.73881093852301,76443.69288681204,0.4851,0.0
343,55.90826901217223,64367.95301142264,0.4738,0.0179
344,54.26570673266492,46475.91640706127,0.4291,0.455
345,52.77467660711216,36357.40654205607,0.4121,0.7091
346,51.31719176754934,32904.55737279335,0.5344,0.7388
347,49.61332258606042,30134.892263759088,0.563,0.7169
348,48.023970070537146,26811.294132917967,0.5352,0.7161
349,46.64977007894935,25112.56619937695,0.5305,0.7365
350,45.740577155222056,24540.168743509865,0.5342,0.7526
351,45.4860956752984,24964.85072689512,0.5259,0.7246
352,46.04711166513011,29119.34839044652,0.4746,0.3942
353,48.58498606036887,52846.146157840085,0.3764,0.006
354,50.41956618381858,53806.29672897196,0.3736,0.0
355,50.579195475770696,48950.15057113188,0.3889,0.0
356,50.46699227780436,47713.033489096575,0.4113,0.0
357,49.666532350044456,45645.016874350986,0.4152,0.0
358,48.42072983241813,39994.90005192108,0.4158,0.0
359,47.29407091675608,38074.59890965732,0.3915,0.0
360,46.23912950907252,35323.39823468328,0.3299,0.0
361,46.10494836511277,33864.707943925234,0.2982,0.0
362,46.28771233705795,35508.042575285566,0.2851,0.0
363,46.98753640684803,38000.741173416405,0.2505,0.0
364,48.26804094446394,45811.19678089304,0.2322,0.0
365,50.50979143579152,52809.21728971963,0.2243,0.0
366,52.88803653907815,71901.44210799584,0.2046,0.0
367,54.22753451067637,84051.03971962616,0.1736,0.0164
368,53.45136599690918,83847.93094496365,0.1541,0.5002
369,51.23506365357397,54157.12097611631,0.0986,0.717
370,48.22061485047817,45423.44366562825,0.0824,0.7263
371,45.63994129725225,35969.65342679128,0.1002,0.6735
372,43.46065444190593,34160.13888888889,0.1273,0.6663
373,41.555513544477385,31464.33151609553,0.1369,0.6487
374,40.259971464865984,29931.78348909657,0.1265,0.5147
375,39.79033746100686,29377.85046728972,0.1133,0.2527
376,41.0106918306408,30799.61188992731,0.1178,0.1133
377,43.68043390184,47491.46028037383,0.1663,0.0018
378,45.36348187133517,48747.04179646937,0.231,0.0
379,45.53814870528278,38960.89174454829,0.2484,0.0
