HOUR,NGPRICE
994,5.700833333333334
995,5.8149999999999995
996,5.929166666666667
997,6.043333333333333
998,6.157500000000001
999,6.2716666666666665
1000,6.385833333333333
1001,6.5
1002,6.484166666666667
1003,6.468333333333334
1004,6.4525
1005,6.4366666666666665
1006,6.420833333333333
1007,6.405
1008,6.389166666666667
1009,6.373333333333333
1010,6.3575
1011,6.341666666666667
1012,6.325833333333334
1013,6.3100000000000005
1014,6.2941666666666665
1015,6.278333333333333
1016,6.2625
1017,6.246666666666667
1018,6.230833333333333
1019,6.215
1020,6.199166666666667
1021,6.183333333333334
1022,6.1675
1023,6.151666666666666
1024,6.135833333333333
1025,6.12
1026,6.174166666666666
1027,6.2283333333333335
1028,6.2825
1029,6.336666666666667
1030,6.390833333333333
1031,6.445
1032,6.4991666666666665
1033,6.553333333333334
1034,6.6075
1035,6.661666666666667
1036,6.715833333333333
1037,6.77
1038,6.824166666666667
1039,6.878333333333334
1040,6.9325
1041,6.986666666666666
1042,7.0408333333333335
1043,7.095
1044,7.149166666666667
1045,7.203333333333333
1046,7.2575
1047,7.3116666666666665
1048,7.365833333333333
1049,7.42
1050,7.474166666666667
1051,7.528333333333333
1052,7.5825
1053,7.636666666666667
1054,7.690833333333334
1055,7.745
1056,7.799166666666666
1057,7.8533333333333335
1058,7.907500000000001
1059,7.961666666666667
1060,8.015833333333333
1061,8.07
1062,8.124166666666667
1063,8.178333333333335
1064,8.2325
1065,8.286666666666667
1066,8.340833333333334
1067,8.395
1068,8.449166666666667
1069,8.503333333333334
1070,8.557500000000001
1071,8.611666666666668
1072,8.665833333333333
1073,8.72
1074,8.774166666666668
1075,8.828333333333333
1076,8.8825
1077,8.936666666666667
1078,8.990833333333335
1079,9.045
1080,9.099166666666667
1081,9.153333333333334
1082,9.2075
1083,9.261666666666667
1084,9.315833333333334
1085,9.370000000000001
1086,9.424166666666666
1087,9.478333333333333
1088,9.5325
1089,9.586666666666666
1090,9.640833333333333
1091,9.695
1092,9.749166666666666
1093,9.803333333333333
1094,9.8575
1095,9.911666666666665
1096,9.965833333333332
1097,10.02
1098,10.074166666666667
1099,10.128333333333334
1100,10.1825
1101,10.236666666666666
1102,10.290833333333333
1103,10.344999999999999
1104,10.399166666666666
1105,10.453333333333333
1106,10.5075
1107,10.561666666666667
1108,10.615833333333333
1109,10.67
1110,10.724166666666667
1111,10.778333333333332
1112,10.8325
1113,10.886666666666667
1114,10.940833333333334
1115,10.995000000000001
1116,11.049166666666666
1117,11.103333333333333
1118,11.1575
1119,11.211666666666666
1120,11.265833333333333
1121,11.32
1122,11.842500000000001
1123,12.365
1124,12.8875
1125,13.41
1126,13.932500000000001
1127,14.455
1128,14.9775
1129,15.5
1130,16.0225
1131,16.545
1132,17.0675
1133,17.59
1134,18.1125
1135,18.634999999999998
1136,19.1575
1137,19.68
1138,20.2025
1139,20.725
1140,21.2475
1141,21.77
1142,22.2925
1143,22.814999999999998
1144,23.3375
1145,23.86
1146,23.2225
1147,22.585
1148,21.947499999999998
1149,21.31
1150,20.6725
1151,20.035
1152,19.3975
1153,18.759999999999998
1154,18.1225
1155,17.485
1156,16.8475
1157,16.21
1158,15.5725
1159,14.935
1160,14.2975
1161,13.66
1162,13.0225
1163,12.385
1164,11.7475
1165,11.11
1166,10.4725
1167,9.835
1168,9.1975
1169,8.56
1170,8.41
1171,8.26
1172,8.110000000000001
1173,7.960000000000001
1174,7.8100000000000005
1175,7.66
1176,7.51
1177,7.36
1178,7.210000000000001
1179,7.0600000000000005
1180,6.91
1181,6.76
1182,6.61
1183,6.46
1184,6.3100000000000005
1185,6.16
1186,6.01
1187,5.86
1188,5.71
1189,5.5600000000000005
1190,5.41
1191,5.26
1192,5.109999999999999
1193,4.96
1194,4.935
1195,4.91
1196,4.885
1197,4.86
1198,4.835
1199,4.8100000000000005
1200,4.785
1201,4.76
1202,4.735
1203,4.71
1204,4.6850000000000005
1205,4.66
1206,4.635
1207,4.61
1208,4.585
1209,4.5600000000000005
1210,4.535
1211,4.51
1212,4.485
1213,4.46
1214,4.4350000000000005
1215,4.41
1216,4.385000000000001
1217,4.36
1218,4.335
1219,4.3100000000000005
1220,4.285
1221,4.26
1222,4.235
1223,4.21
1224,4.1850000000000005
1225,4.16
1226,4.135
1227,4.11
1228,4.085
1229,4.0600000000000005
1230,4.035
1231,4.01
1232,3.985
1233,3.96
1234,3.935
1235,3.91
1236,3.885
1237,3.86
1238,3.835
1239,3.8099999999999996
1240,3.7849999999999997
1241,3.76
1242,3.735
1243,3.71
1244,3.6849999999999996
1245,3.6599999999999997
1246,3.635
1247,3.61
1248,3.585
1249,3.56
1250,3.535
1251,3.51
1252,3.485
1253,3.46
1254,3.435
1255,3.41
