HOUR,TOTALLOAD,NGPRICE,WIND,PRICE
34,100.54047339841192,6.054062500000001,0.5352829930732774,142.9247754491018
35,99.17264873115708,6.080625,0.5334772602989427,124.61287425149698
36,97.34185379451228,6.1071875,0.5391052223842508,106.14333832335328
37,95.79895866781771,6.13375,0.5551517499088588,83.41766467065867
38,94.532495449874,6.1603125,0.5736419978126138,69.17799401197604
39,93.48817657613216,6.186875000000001,0.5986317444403937,63.79214071856287
40,93.70329220669568,6.2134375,0.6156523423259205,65.34221556886229
41,96.5878392906496,6.24,0.627711447320452,102.51773952095807
42,100.72886142053486,6.24,0.6317786183011301,171.03630239520953
43,101.21828184914288,6.24,0.630781762668611,138.90508982035925
44,100.1976386423934,6.24,0.629067170980678,127.6079341317365
45,98.3666587396002,6.24,0.620522694130514,110.34693113772452
46,95.15139218234656,6.24,0.6076091414509661,100.70494011976048
47,91.16463182020853,6.24,0.5958291560335398,67.15501497005988
48,88.39624347743595,6.24,0.602921071819176,70.59670658682634
49,86.6687521346602,6.24,0.603177406124681,64.39640718562873
50,85.50781210436608,6.24,0.5990190940576011,65.44730538922155
51,84.99591828873014,6.24,0.5886290102078017,66.05157185628742
52,85.32478810054612,6.24,0.5705432008749544,72.54086826347304
53,87.08742301151366,6.24,0.5576524334670069,84.75755988023951
54,91.09231005619274,6.24,0.5404780349981771,119.4634730538922
55,96.05069759576008,6.24,0.5276727123587313,188.84902694610776
56,97.70346261459116,6.24,0.4978695771053591,181.1774700598802
57,97.02778127456652,6.24,0.4693424170616113,169.93285928143706
58,95.83872638971896,6.24,0.4325385071090046,153.82784431137722
59,94.25356649812004,6.24,0.3917870488516222,140.61279940119758
60,92.6073677775564,6.24,0.3572217918337586,128.31729041916165
61,91.14067870399356,6.24,0.3167608457892818,118.57020958083832
62,90.04216474877701,6.24,0.2951718009478672,107.22050898203592
63,89.09384330604331,6.24,0.2779461356179365,100.81002994011972
64,89.16311312861086,6.24,0.2623724024790375,109.47994011976049
65,91.7842684172746,6.24,0.2513215457528253,165.413997005988
66,96.11913507065992,6.17375,0.2478410955158585,233.3282934131736
67,97.43082251188206,6.1075,0.2449701512942034,196.23158682634727
68,97.10713175222068,6.04125,0.2435118939117753,169.3285928143712
